FEzW4zC11	FEzW0zC7	FEzW4zF8	FEzW4zF5	FEzW2zC6	FEzW0zF11	FEzW2zF4	FEzW2zC8	FEzW4zC1	FEzW4zC6	FEzW2zF2	FEzW0zF7	FEzW2zC10	FEzW0zF5	FEzW6zC4	FEzW0zF6	FEzW4zF1	FEzW6zC3	FEzW6zF8	FEzW0zC9	FEzW4zC10	FEzW0zF1	FEzW2zF7	FEzW4zC2	FEzW4zF3	FEzW6zF5	FEzW2zF8	FEzW6zF2	FEzW6zC6	FEzW2zF6	FEzW0zF2	FEzW2zC2	FEzW6zF9	FEzW4zC3	FEzW0zF3	FEzW4zF9	FEzW6zF6	FEzW2zC9	FEzW6zC2	FEzW0zF9	FEzW2zC4	FEzW0zC2	FEzW4zC9	FEzW6zC10	FEzW0zC1	FEzW4zF4	FEzW6zF3	FEzW2zC3	FEzW4zF7	FEzW0zC6	FEzW6zF11	FEzW0zF4	FEzW2zF11	FEzW4zC4	FEzW0zC10	FEzW6zC7	FEzW6zF7	FEzW6zC5	FEzW6zF1	FEzW2zC5	FEzW0zC4	FEzW0zC5	FEzW6zC9	FEzW6zC1	FEzW2zF1	FEzW2zC11	FEzW2zF9	FEzW2zF5	FEzW2zF3	FEzW2zC1	FEzW2zC7	FEzW4zF2	FEzW4zC7	FEzW6zF4	FEzW4zC5	FEzW0zC8	FEzW4zC8	FEzW4zF6	FEzW0zC11	FEzW6zC11	FEzW6zC8
35	37	4	13	4	10	19	10	8	20	15	8	21	29	7	4	10	8	10	21	12	13	5	4	13	24	22	18	9	10	5	11	19	11	14	30	44	3	3	13	4	5	17	15	2	15	13	13	20	4	18	14	2	8	18	12	10	14	11	8	12	2	12	5	23	12	10	26	12	7	8	3	12	6	18	17	15	14	2	19	50
34	0	20	23	0	12	0	0	27	28	10	2	2	6	9	0	22	0	6	29	5	13	0	13	0	0	37	14	52	6	5	0	81	0	24	6	36	8	0	5	0	2	0	10	7	0	0	2	12	2	0	7	12	2	19	6	17	3	16	0	5	7	9	16	41	27	0	14	3	3	10	15	64	13	39	13	7	8	15	11	48
33	87	3	0	0	3	0	9	1	0	0	6	5	1	5	0	0	0	5	12	0	4	19	0	3	0	3	5	0	10	4	0	3	0	0	10	35	2	0	21	0	3	4	3	2	1	9	0	47	0	15	11	0	0	13	18	8	3	0	0	0	3	11	0	0	3	9	0	0	0	41	0	35	0	2	23	25	9	11	13	31
32	0	12	17	0	20	0	0	27	107	0	0	3	18	7	6	3	0	24	0	0	0	25	0	10	0	29	81	58	36	7	0	0	25	30	17	6	0	0	10	5	34	0	0	17	6	50	12	7	22	7	8	10	17	22	29	16	2	0	0	0	22	0	6	64	5	0	25	24	22	19	25	42	0	19	0	13	7	9	11	17
31	0	9	7	10	0	6	6	3	3	20	0	0	5	0	0	0	4	13	7	0	0	0	0	3	21	15	0	4	20	9	0	13	0	2	20	3	0	5	0	2	0	17	5	0	0	5	0	0	0	25	11	3	3	0	0	2	0	0	0	0	0	13	6	0	4	5	9	13	0	0	3	16	3	0	7	0	30	0	8	2
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	1	66	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	1	1	0	0	0	21	0	0	0	2	0	0	51	29	0	0	0	0	0	0	0	10	0	0	0	0	0	29	32	32	0	0	0	0	0	0	39	37
29	0	8	0	0	21	7	0	0	0	0	0	0	11	0	0	5	0	13	31	0	0	0	14	6	0	14	0	0	0	3	12	0	6	3	0	0	23	0	27	0	14	6	0	43	42	30	0	0	4	0	6	0	0	0	0	0	45	0	46	3	3	0	0	0	0	0	13	0	0	0	0	0	14	51	0	0	0	6	0	8
27	0	1	14	0	0	13	4	0	34	0	0	24	6	0	4	24	0	5	17	0	8	0	33	9	12	0	0	24	3	4	17	0	26	14	0	0	0	17	0	5	2	0	3	16	0	0	2	4	6	20	2	0	0	0	0	2	47	37	18	5	5	0	0	49	0	0	8	3	15	0	0	0	3	32	28	0	0	0	27	5
27	4	21	11	43	0	0	15	0	0	0	0	0	0	2	0	0	16	31	4	0	0	4	50	18	21	17	16	25	5	0	0	31	0	0	11	26	0	35	0	0	0	0	3	0	0	32	0	0	0	12	12	9	18	10	19	0	0	0	0	0	0	4	0	38	17	7	16	93	7	2	24	3	21	32	51	25	16	0	1	42
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	13	39	0	0	2	0	0	0	2	0	0	0	0	4	0	3	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	41	0	0	2	5	11	0	3	11
27	9	17	4	3	67	5	9	0	33	14	14	58	35	2	24	3	0	17	60	10	17	15	24	62	29	9	4	47	9	32	36	11	5	22	1	22	9	7	62	3	46	0	15	32	9	4	8	3	50	13	43	5	7	22	4	8	17	0	12	21	27	3	0	30	21	14	20	43	46	3	0	27	20	38	56	0	9	135	20	29
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	6	0	3	0	0	0	0	0	0	0	0	0	2	16	12	0	0	0	0	0	0	0	0	0
25	40	38	79	66	1	20	16	2	117	126	2	6	92	14	8	13	0	48	23	29	85	0	32	63	45	1	51	109	8	110	118	94	6	36	72	62	62	108	8	42	16	38	3	30	35	93	87	137	32	29	2	51	42	3	86	10	60	22	43	71	19	83	172	62	27	24	70	13	7	65	34	68	51	130	20	18	38	8	80	154
25	23	12	21	14	0	8	3	0	0	9	0	2	3	7	2	0	5	19	5	11	10	2	0	10	46	15	0	0	25	0	0	0	0	0	0	45	11	0	0	8	0	11	2	0	7	15	0	22	0	9	30	0	14	14	0	14	5	0	0	3	0	17	0	0	6	3	11	10	0	3	0	0	6	22	20	3	4	0	0	16
25	10	0	6	4	4	7	3	43	2	3	5	0	0	8	0	6	0	0	7	0	4	0	14	9	24	0	0	11	2	0	3	0	3	0	21	0	0	13	11	27	6	6	0	22	9	30	3	7	0	0	2	4	3	2	0	10	20	0	15	0	5	0	0	0	7	0	0	3	2	0	4	15	2	23	5	4	11	5	6	39
24	0	15	0	0	0	0	2	0	0	7	0	0	8	0	25	7	2	0	8	0	2	2	13	0	36	3	0	2	7	9	4	2	2	3	2	0	2	2	4	15	2	17	0	11	4	0	7	2	0	0	2	0	0	0	0	0	15	0	0	0	5	0	0	0	0	2	22	0	5	0	0	0	3	2	0	0	4	0	0	0
23	0	0	52	0	2	0	4	14	3	2	0	0	0	0	0	2	4	0	0	0	0	0	0	0	17	14	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	7	2	0	2	0	0	0	0	6	0	0	9	0	1	0	5	0	0	0	28	9	0	0	15	0	16	0	8	10	7	9	0	3	0	0	6	17
23	22	0	2	0	0	0	6	0	0	0	8	0	7	3	3	5	0	4	0	0	1	0	0	3	0	6	0	0	9	1	0	5	4	0	0	23	2	0	60	3	2	5	0	3	0	0	0	5	0	0	4	0	0	0	0	14	11	0	0	11	0	5	7	15	0	0	2	0	0	13	0	0	0	0	2	29	0	4	0	31
23	13	2	39	6	90	30	31	11	195	69	38	27	71	28	86	119	7	25	102	8	155	0	181	39	162	6	0	24	22	159	288	55	20	37	10	11	25	63	20	183	109	56	4	61	56	31	194	0	135	18	24	3	59	3	42	0	10	47	47	30	98	10	32	82	41	22	58	8	50	1	13	3	53	136	34	6	21	14	19	3
