029SS	116JS	129GP	46	215	300	023TD	077SF	193MR	152JF	179TH	115RW	HG113	043RB	063CG	149SD	HG237	282	843	895	2123	120NG	12	710	128TW	164JO	HG216	064DB	453	198LW
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0
0	0	1	0	1	0	13	0	0	0	1	1	0	0	3	0	0	1	0	0	0	10	0	1	0	0	0	0	9	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	8	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	1	6	0	0	1	2	0	0	1	0	0	3	0	2	3	2	0	0	2	0	0	0	2	0
0	0	0	0	0	0	3	0	3	0	0	0	0	19	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0
0	0	0	1	48	6	0	0	0	0	0	0	16	0	0	0	29	15	0	44	0	0	0	28	0	0	13	0	17	0
0	2	10	0	0	5	12	16	10	0	6	26	0	0	0	0	0	0	21	0	0	9	45	13	0	20	0	0	0	20
196	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0	1	4	79	16	0	0	0	0	0	0	1	17	0	0	0	2	9	0	1	0	3	9	31	0	0	1	0	49	0
0	0	1	68	22	0	0	0	0	0	0	0	18	0	0	0	4	5	0	0	0	1	4	30	0	0	6	0	67	0
0	1	0	0	3	15	0	0	0	0	0	0	0	12	0	0	9	23	0	80	0	0	0	0	0	0	3	3	72	0
0	0	0	0	8	7	0	0	0	0	0	0	0	13	0	1	7	22	0	79	0	0	0	0	0	0	5	3	70	0
0	0	13	53	10	2	5	38	1	0	10	0	0	0	14	0	0	15	0	0	0	7	8	23	2	0	0	0	15	0
0	0	0	0	46	0	0	0	3	0	0	0	0	0	9	0	2	0	0	4	0	0	0	0	0	0	102	7	53	0
0	0	0	88	0	23	0	0	0	0	0	0	1	0	0	2	0	0	0	19	0	0	0	0	19	0	0	0	0	0
1	2	1	7	2	1	7	1	0	0	3	0	2	0	1	0	1	0	0	1	200	0	6	12	1	0	0	1	1	0
0	0	0	70	0	9	0	0	0	0	0	0	86	0	0	4	1	0	0	18	0	0	0	0	8	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0
4	0	7	65	7	3	4	17	2	0	13	7	8	12	9	1	8	13	0	0	0	2	12	16	0	0	12	2	12	0
0	14	5	0	1	0	5	5	3	0	24	0	0	0	6	0	0	0	79	4	0	1	0	74	2	9	0	0	1	0
0	0	0	0	46	0	0	0	6	5	0	0	0	0	15	0	4	0	0	4	0	0	0	0	0	0	100	1	74	0
0	0	5	0	31	0	9	133	1	0	0	1	0	0	6	0	0	7	0	0	0	12	0	4	0	0	0	0	19	0
0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0
