Ro2020s021	Ro2020s035	Ro2020s001	Ro2020s003	Ro2020s022	Ro2020s028	Ro2020s012	Ro2020s002	Ro2020s008	Ro2020s026	Ro2020s024	Ro2020s037	Ro2020s016	Ro2020s004	Ro2020s019	Ro2020s029	Ro2020s031	Ro2020s027	Ro2020s009	Ro2020s039	Ro2020s010	Ro2020s030	Ro2020s013	Ro2020s020	Ro2020s007	Ro2020s017	Ro2020s014	Ro2020s023	Ro2020s015	Ro2020s033	Ro2020s025	Ro2020s038	Ro2020s011	Ro2020s018	Ro2020s006	Ro2020s005	Ro2020s036	Ro2020s032	Ro2020s034
7	0	0	0	0	0	0	0	0	35	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	6	0	0	0	0	0	0	0	0
0	0	3	2	0	4	4	0	7	0	0	0	5	2	5	3	10	0	3	0	6	21	4	6	4	0	0	0	5	23	0	0	4	1	0	7	0	8	0
4	0	0	0	0	11	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	0	2	0	4	3	3	0	6	5	10	0	5	0	2	3	0	4	2	0	3	0	1	37	0	2	0	2	0	2	12	0	5	10	2	4	0	2	0
0	0	0	0	0	0	4	0	2	0	0	0	11	0	31	0	0	25	5	0	3	0	8	0	1	5	0	0	8	0	5	0	0	49	0	27	0	0	0
14	2	0	0	0	12	0	0	10	5	5	7	17	0	29	0	2	19	2	38	3	3	3	17	11	0	0	3	0	3	3	52	0	17	4	19	8	0	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	0	0	0	2	0	0	0	0	0	5	0	0	0	0	5	4	0	0	0	0
68	0	48	31	9	32	4	8	7	22	84	0	73	36	103	12	0	54	13	0	7	0	6	73	5	6	0	7	0	5	54	0	14	89	43	45	0	2	0
9	0	0	0	2	0	0	0	0	2	0	0	4	0	3	0	0	4	0	0	2	0	0	21	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
8	0	5	0	4	4	0	0	0	4	0	0	5	2	7	2	0	5	2	0	0	0	0	7	0	0	0	0	0	0	2	0	0	6	4	5	0	0	0
0	0	2	2	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	9	0	0	0	0	0
39	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
7	0	0	0	7	0	3	2	0	2	1	0	3	0	1	0	0	6	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	2	2	0	0	0
0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
