10251.E.B.3.1W	10251.E.LC.3.1W	10251.E.CS.3.1D	10251.E.B.1.3D	10251.E.LC.1.3D	10251.E.CS.1.3W	10251.E.CS.1.2D	10251.E.LC.1.2W	10251.E.B.1.2W	10251.E.CS.2.1W	10251.E.LC.2.1D	10251.E.I.1W	10251.E.B.2.1D	10251.E.B.2.1W	10251.E.I.1D	10251.E.CS.2.1D	10251.E.LC.2.1W	10251.E.B.1.2D	10251.E.CS.1.2W	10251.E.LC.1.2D	10251.E.LC.1.3W	10251.E.CS.1.3D	10251.E.B.1.3W	10251.E.LC.3.1D	10251.E.CS.3.1W	10251.E.B.3.1D	10251.E.B.3.3D	10251.E.LC.3.3D	10251.E.CS.3.2D	10251.E.LC.3.2W	10251.E.B.3.2W	10251.E.I.2W	10251.E.B.2.2D	10251.E.LC.2.2D	10251.E.CS.2.2W	10251.E.CS.2.3D	10251.E.LC.2.3W	10251.E.I.3D	10251.E.B.2.3W	10251.E.B.1.1W	10251.E.LC.1.1W	10251.E.CS.1.1D	10251.E.LC.1.1D	10251.E.CS.1.1W	10251.E.B.1.1D	10251.E.B.2.3D	10251.E.I.3W	10251.E.CS.2.3W	10251.E.LC.2.3D	10251.E.LC.2.2W	10251.E.CS.2.2D	10251.E.B.2.2W	10251.E.I.2D	10251.E.B.3.2D	10251.E.CS.3.2W	10251.E.LC.3.2D	10251.E.LC.3.3W	10251.E.CS.3.3D	10251.E.B.3.3W
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	1	3	0	0	16	0	7	0	12	0	0	0	0	0	0	2	0	11	0	7	0	21	0	6	0	0	0	0	11	0	67	0	0	26	6	0	0	2	0	3	3	0	0	5	0	0	86	0	12	0	2	26	0	10	0	4	0	0
2	0	0	0	2	6	0	10	18	15	0	25	0	2	0	0	0	0	7	0	5	0	7	0	6	0	0	0	0	0	13	2	0	0	32	0	12	48	3	12	0	0	0	11	0	0	136	49	0	2	0	6	0	0	4	0	16	6	32
0	0	0	0	0	0	0	0	0	0	4	0	47	0	0	0	0	8	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	32	0	0	0	0	0
3	0	0	0	0	5	0	5	19	21	2	10	0	6	0	0	0	0	20	2	9	0	17	0	7	0	0	0	0	0	5	41	0	0	9	0	10	37	2	4	0	0	0	2	0	0	2	27	2	8	7	0	0	0	5	0	0	0	0
0	0	0	190	0	0	0	0	0	0	67	0	0	0	0	0	0	177	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	45	0	0	0	69	0	0	0	0	0	0	22	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
615	1138	519	1106	203	0	2149	0	364	1234	126	890	1046	332	8	2466	1008	858	0	243	0	924	460	103	3143	850	231	244	408	1727	778	509	1019	49	817	1360	863	0	1231	685	0	2171	85	0	711	310	393	1803	42	1127	1986	1517	0	546	4674	145	839	399	511
36	5760	5357	1157	8322	3246	6781	18910	0	3891	15976	0	3608	0	168	8795	10702	818	2379	11137	12427	6827	0	8114	303	17429	14872	11123	2957	8773	0	0	5173	11770	3205	6096	7828	45	303	0	11325	7567	8375	3065	484	3611	0	6044	8496	12816	6705	0	274	18405	431	8303	5401	4501	0
0	2	4	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	2	0	0	2	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
