SampleID	Groups
AUML4C	COLD
AUML4A	COLD
AUML4B	COLD
AUML3A	COLD
AUML3B	COLD
AUML3C	COLD
AUML2C	COLD
AUML1A	COLD
AUML1C	COLD
AUML1B	COLD
AUML2B	COLD
AUML2A	COLD
USSF1B	COLD
USSF1C	COLD
USSF1A	COLD
JPSD1F	COLD
JPSD1E	COLD
JPSD1C	COLD
JPSD1D	COLD
JPSD1A	COLD
JPSD1B	COLD
AUMB1C	COLD
AUMB1B	COLD
AUMB1A	COLD
PTLB3A	COLD
PTLB2C	COLD
PTLB1A	COLD
PTLB2B	COLD
PTLB2A	COLD
PTLB1C	COLD
PTLB1B	COLD
PTLB3C	COLD
PTLB3B	COLD
PTLB4B	COLD
PTLB4A	COLD
PTLB5A	COLD
PTLB4C	COLD
PTLB5C	COLD
PTLB5B	COLD
PTLB6B	COLD
PTLB6A	COLD
USDC2C	COLD
USDC1A	COLD
USDC1B	COLD
USDC1C	COLD
USDC2A	COLD
USDC4A	COLD
USDC4C	COLD
USDC3C	COLD
USDC4B	COLD
USDC2B	COLD
USDC3B	COLD
USDC3A	COLD
CNDL2AC	COLD
CNDL2BB	COLD
CNDL2BC	COLD
CNDL2BA	COLD
CNDL2AA	COLD
CNDL2AB	COLD
CNDL1BB	COLD
CNDL1BC	COLD
CNDL1BA	COLD
CNDL1AC	COLD
CNDL1AB	COLD
CNDL1AA	COLD
USCB1DB	COLD
USCB1AC	COLD
USCB1AB	COLD
USCB1BB	COLD
USCB1BA	COLD
USCB1AA	COLD
USCB1CA	COLD
USCB1BC	COLD
USCB1DC	COLD
USCB1DA	COLD
USCB1CC	COLD
USCB1CB	COLD
CNBJ4A	COLD
CNBJ4B	COLD
CNBJ4C	COLD
CNBJ3C	COLD
CNBJ3A	COLD
CNBJ3B	COLD
CNBJ5BA	COLD
CNBJ5AC	COLD
CNBJ5BC	COLD
CNBJ5BB	COLD
CNBJ5AA	COLD
CNBJ5AB	COLD
CNBJ2A	COLD
CNBJ2B	COLD
CNBJ2C	COLD
CNBJ1AA	COLD
CNBJ1AB	COLD
CNBJ1AC	COLD
CNBJ1BA	COLD
CNBJ1BB	COLD
CNBJ1BC	COLD
CNBJ1CA	COLD
CNBJ1CC	COLD
CNBJ1CB	COLD
CNBJ6BB	COLD
CNBJ6BA	COLD
CNBJ6BC	COLD
USLC1C	COLD
USLC2A	COLD
USLC2B	COLD
USLC2C	COLD
USLC1A	COLD
USLC1B	COLD
USLC3A	COLD
USLC3B	COLD
USLC3C	COLD
USLC4C	COLD
USLC4B	COLD
USLC4A	COLD
USBT2B	COLD
USBT2C	COLD
USBT2A	COLD
USBT3B	COLD
USBT3C	COLD
USBT3A	COLD
USBT1C	COLD
USBT1B	COLD
USBT1A	COLD
USCG2B	COLD
USCG2A	COLD
USCG2C	COLD
ITRM1A	COLD
USBT6B	COLD
USBT6A	COLD
USBT6C	COLD
USBT5A	COLD
USBT5B	COLD
USBT5C	COLD
USCG1C	COLD
USCG1B	COLD
USCG1A	COLD
USCG4AA	COLD
USCG4AB	COLD
USCG4AC	COLD
USCG4BA	COLD
USCG4BC	COLD
USCG4BB	COLD
USCG5C	COLD
USCG5B	COLD
USCG5A	COLD
USCG3B	COLD
USCG3C	COLD
USCG3A	COLD
USBT4C	COLD
USBT4A	COLD
USBT4B	COLD
USMI3C	COLD
USMI3A	COLD
USMI3B	COLD
USMI1A	COLD
USMI1C	COLD
USMI1B	COLD
USMI2A	COLD
USMI2C	COLD
USMI2B	COLD
USMI4C	COLD
USMI4A	COLD
USMI4B	COLD
AUTA1A	COLD
AUTA2C	COLD
AUTA2B	COLD
AUTA2A	COLD
AUTA1B	COLD
AUTA1C	COLD
NZOX1	COLD
NZOX3	COLD
NZOX2	COLD
CAON4BA	COLD
CAON4BB	COLD
CAON2B	COLD
CAON2C	COLD
CAON1C	COLD
CAON2A	COLD
CAON4AB	COLD
CAON4AC	COLD
CAON3C	COLD
CAON4AA	COLD
CAON4BC	COLD
CAON1B	COLD
CAON1A	COLD
NZBL1	COLD
NZBL2	COLD
NZBL3	COLD
NZPN3	COLD
NZPN2	COLD
NZPN1	COLD
NZDM3	COLD
NZDM1	COLD
NZDM2	COLD
ITLF2A	COLD
