79CMK8KO	97CHE6WT	27CMK6WT	23CMK6WT	41CMK8WT	105CHE6WT	63CMK8WT	89CHE6WT	55CMK8HET	67CMK8WT	115CHE6KO	11CMK6WT	84CHE6KO	77CMK8WT	83CHE6KO	73CMK8WT	8CMK6KO	66CMK8WT	6CMK6WT	52CMK8WT	29CMK6WT	93CHE6WT	74CMK8KO	81CHE6WT	92CHE6KO	99CHE6KO	60CMK8KO	114CHE6WT	103CHE6KO	33CMK6WT	4CMK6KO	24CMK6KO	44CMK8KO	64CMK8KO	21CMK6WT	86CHE6WT	88CHE6KO	13CMK6HET	47CMK8KO	40CMK6WT	57CMK8WT	76CMK8WT	90CHE6WT	104CHE6KO	59CMK8WT	111CHE6KO	51CMK8WT	75CMK8KO	35CMK6KO	112CHE6KO	9CMK6KO	65CMK8KO	78CMK8KO	100CHE6KO	1CMK6WT	16CMK6KO	61CMK8WT	95CHE6KO	72CMK8KO	28CMK6KO	110CHE6WT	7CMK6KO	43CMK8WT	38CMK6KO	53CMK8HET	107CHE6KO	20CMK6KO	39CMK6KO	48CMK8KO	87CHE6KO	22CMK6KO	36CMK6WT	69CMK8WT	91CHE6KO	37CMK6WT	2CMK6KO	80CMK8WT	19CMK6WT	15CMK6HET	49CMK8KO	45CMK8WT	3CMK6WT	42CMK8KO	12CMK6WT	96CHE6KO	54CMK8KO	106CHE6WT	30CMK6KO	32CMK6KO	5CMK6WT	62CMK8KO	94CHE6WT	71CMK8WT	10CMK6KO	56CMK8KO	50CMK8KO	116CHE6KO	101CHE6WT	58CMK8KO	46CMK8WT	82CHE6WT	68CMK8KO	18CMK6KO	98CHE6WT	108CHE6KO	109CHE6WT	34CMK6KO	85CHE6WT	14CMK6KO	102CHE6WT	113CHE6WT	26CMK6WT	25CMK6KO	17CMK6WT	70CMK8KO
0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	83	0	0	0	0	0	12	0	0	0	0	0	117	0	0	0	0	0
0	18	0	0	0	18	0	19	0	0	36	0	31	0	40	0	0	0	0	0	0	59	0	69	25	31	0	60	79	0	0	0	0	0	0	64	43	0	0	0	0	0	33	47	0	50	0	0	0	88	0	0	0	21	0	0	0	35	0	0	63	0	0	0	0	5	0	0	0	34	0	0	0	24	0	0	0	0	0	0	0	0	0	0	23	0	58	0	0	0	0	30	0	0	0	0	41	74	0	0	32	0	0	53	18	48	0	40	0	21	76	0	0	0	0
0	18	0	0	0	3	0	14	0	0	6	0	5	0	10	0	0	0	0	0	0	21	0	17	12	18	0	23	24	0	0	0	0	0	0	15	12	0	0	0	0	0	28	13	0	30	0	0	0	29	0	0	0	12	0	0	0	6	0	0	14	0	0	0	0	23	0	0	0	13	0	0	0	15	0	0	0	0	0	0	0	0	0	0	14	0	38	0	0	0	0	6	0	0	0	0	13	16	0	0	14	0	0	16	7	6	0	10	0	9	11	0	0	0	0
0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0
0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
0	16	0	0	0	3	0	0	0	0	21	0	0	0	9	0	0	0	0	0	0	14	0	5	38	2	0	40	24	0	0	0	0	0	0	9	1	0	0	0	0	0	68	39	0	18	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	4	0	0	0	33	0	0	0	25	0	0	0	0	0	0	0	0	0	0	15	0	30	0	0	0	0	0	0	0	0	0	23	5	0	0	12	0	0	0	18	11	0	10	0	18	36	0	0	0	0
0	16	0	0	0	16	0	16	0	0	7	0	109	0	120	0	0	0	0	0	0	19	0	79	58	15	0	43	25	0	0	0	0	0	0	9	2	0	0	0	0	0	73	13	0	106	0	0	0	78	0	0	0	11	0	0	0	10	0	0	22	0	0	0	0	43	0	0	0	14	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	5	0	0	0	0	20	0	0	0	152	0	0	43	6	32	0	8	0	34	25	0	0	0	0
0	15	0	0	0	26	0	5	0	0	13	0	13	0	35	0	0	0	0	0	0	18	0	18	5	14	0	24	23	0	0	0	0	0	0	5	7	1	0	0	0	0	9	14	0	22	0	0	0	14	0	0	0	7	0	0	0	7	0	0	16	0	0	0	0	15	0	0	0	1	0	0	0	6	0	0	0	0	6	0	0	0	0	0	11	0	23	0	0	0	0	5	0	0	0	0	11	39	0	0	10	0	0	23	22	9	0	0	0	19	25	0	0	0	0
0	15	0	0	0	0	0	19	0	0	2	0	23	0	11	0	0	0	0	0	0	12	0	5	20	13	0	9	8	0	0	0	0	0	0	6	19	0	0	0	0	0	32	8	0	10	0	0	0	33	0	0	0	28	0	0	0	8	0	0	10	0	0	0	0	20	0	0	0	13	0	0	0	13	0	0	0	0	0	0	0	0	0	0	44	0	32	0	0	0	0	10	0	0	0	0	15	0	0	0	8	0	0	16	16	11	0	22	0	3	5	0	0	0	0
0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0	13	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	71	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	5	0	0	20	0	0	0	10	0	0	0	0	0	0	0
0	12	0	0	0	5	0	21	0	0	3	0	7	0	8	0	0	0	0	0	0	10	0	11	34	24	0	13	18	0	0	0	0	0	0	28	18	0	0	0	0	0	73	24	0	33	0	0	0	59	0	0	0	19	0	0	0	22	0	0	19	0	0	0	0	12	0	0	0	36	0	0	0	17	0	0	0	0	0	0	0	0	0	0	29	0	66	0	0	0	0	14	0	0	0	0	10	14	0	0	6	0	0	21	11	5	0	34	0	14	5	0	0	0	0
0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	12	73	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	33	0	0	0	33	0	0	0	91	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	40	0	0	19	0	6	0	0	0	0	0
0	12	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	7	0	6	3	0	0	0	0	0	0	5	12	0	0	0	0	0	17	16	0	17	0	0	0	19	0	0	0	11	0	0	0	5	0	0	9	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	14	0	0	0	0	20	0	0	0	0	2	10	0	0	0	0	0	17	0	8	0	2	0	3	3	0	0	0	0
0	12	0	0	0	8	0	11	0	0	7	0	8	0	10	0	0	0	0	0	0	5	0	4	16	11	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	17	4	0	12	0	0	0	18	0	0	0	12	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	3	0	0	0	0	14	2	0	0	15	0	0	28	7	9	0	13	0	7	6	0	0	0	0
0	11	0	0	0	3	0	42	0	0	13	0	10	0	7	0	0	0	0	0	0	106	0	34	58	36	0	3	13	0	0	0	0	0	0	65	42	0	0	0	0	0	14	7	0	173	0	0	0	105	0	0	0	0	0	0	0	38	0	0	61	0	0	0	0	25	0	0	0	92	0	0	0	21	0	0	0	0	0	0	0	0	0	0	34	0	183	0	0	0	0	32	0	0	0	0	8	0	0	0	16	0	0	30	56	27	0	30	0	15	13	0	0	0	0
0	11	0	0	0	0	0	27	0	0	18	0	31	0	26	0	0	0	0	0	0	11	0	22	26	12	0	31	27	0	0	0	0	0	0	31	19	0	0	0	0	0	50	26	0	23	0	0	0	13	0	0	0	22	0	0	0	15	0	0	13	0	0	0	0	17	0	0	0	47	0	0	0	22	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	11	0	0	0	0	12	13	0	0	19	0	0	30	11	12	0	31	0	15	21	0	0	0	0
0	11	7	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	5	0	32	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	5	0	9	0	0	10	0	0	0	0	0	0	0	19	4	0	0	0	4	19	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7	0	0	10	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	7	0	2	0	0
0	11	0	0	0	15	0	24	0	0	3	0	11	0	7	0	0	0	0	0	0	10	0	13	40	18	0	8	14	0	0	0	0	0	0	56	41	0	0	0	0	0	94	30	0	43	0	0	0	27	0	0	0	12	0	0	0	9	0	0	13	0	0	0	0	43	0	0	0	50	0	0	0	40	0	0	0	0	0	0	0	0	0	0	20	0	12	0	0	0	0	8	0	0	0	0	9	14	0	0	14	0	0	24	19	11	0	60	0	14	11	0	0	0	0
0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	5	0	0	0	0	0	0	0	13	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	9	0	0	0	0	2	0	0	0	0	0	11	0	0	0	0	0	12	2	0	0	0	0	2	0	0	0	0	0
0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
0	8	0	0	0	0	0	8	0	0	19	0	44	0	14	0	0	0	0	0	0	25	0	36	13	19	0	17	6	0	0	0	0	0	0	2	4	0	0	0	0	0	23	8	0	0	0	0	0	8	0	0	0	9	0	0	0	19	0	0	15	0	0	0	0	12	0	0	0	14	0	0	0	16	0	0	0	0	0	0	0	0	0	0	9	0	25	0	0	0	0	9	0	0	0	0	1	16	0	0	13	0	0	20	5	11	0	17	0	9	5	0	0	0	0
0	8	0	0	0	0	0	4	0	0	0	0	3	0	23	0	0	0	0	0	0	6	0	7	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	4	0	0	0	5	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	4	4	0	0	0	0
0	8	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	68	0	1	5	55	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	13	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	5	0	0	34	0	0	0	5	0	2	0	0	0	0	0
0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	7	0	0	0	2	0	19	0	0	1	0	20	0	22	0	0	0	0	0	0	3	0	10	23	4	0	6	2	0	0	0	0	0	0	10	23	0	0	0	0	0	11	1	0	2	0	0	0	1	0	0	0	5	0	0	0	2	0	0	5	0	0	0	0	3	0	0	0	37	0	0	0	11	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	1	0	0	0	0	2	0	0	0	13	0	0	13	3	7	0	38	0	0	1	0	0	0	0
0	7	11	0	0	0	0	0	0	25	0	0	0	5	0	52	45	0	0	0	7	0	5	7	0	7	0	0	0	0	0	0	0	32	0	0	8	0	25	3	0	0	0	0	0	0	0	4	23	0	0	0	11	0	4	6	0	0	10	6	0	8	0	5	0	0	24	0	62	9	0	0	0	0	13	0	0	0	0	0	15	0	13	0	0	0	0	0	0	11	22	0	0	0	0	0	0	6	27	0	0	0	22	21	0	0	75	0	0	0	0	8	0	0	7
0	7	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	5	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	33	0	0	7	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	2	4	0	4	0	0	0	0	0	0	0
0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0	6	0	0	7	12	0	12	0	0	6	25	13	0	7	0	0	0	0	17	0	20	0	20	5	14	0	2	0	0	6	0	13	0	0	10	5	0	0	0	0	0	17	11	0	37	17	0	0	12	2	0	0	3	7	0	0	2	0	0	14	0	18	0	0	14	0	0	0	13	0	0	0	7	0	10	0	0	0	11	0	11	8	22	4	0	70	0	0	0	0	6	0	11	0	3	4	21	0	0	23	0	0	15	29	4	0	7	0	14	4	0	0	0	0
0	6	0	0	0	9	0	10	0	0	16	0	4	0	14	0	0	0	0	0	0	25	0	3	3	10	0	6	1	0	0	0	0	0	0	5	5	0	0	0	0	0	5	4	2	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	14	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	15	0	0	0	0	6	0	0	0	0	21	26	0	0	4	0	0	1	25	0	0	1	0	2	9	0	0	0	0
0	6	0	0	0	1	0	8	0	0	0	0	6	0	8	0	0	0	0	0	0	5	0	7	3	5	0	7	2	0	0	0	0	0	0	7	18	0	0	0	0	0	25	8	0	6	0	0	0	10	0	0	0	5	0	0	0	8	0	0	7	0	0	0	0	7	0	0	0	19	0	0	0	8	0	0	0	0	0	0	0	0	0	0	10	0	4	0	0	0	0	2	0	0	0	0	2	8	0	0	2	0	0	1	8	6	0	14	0	2	1	0	0	0	0
0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	0	0	0
0	6	0	0	0	0	0	3	0	0	5	0	2	0	3	0	0	0	0	0	0	7	0	7	5	8	0	1	6	0	0	0	0	0	0	7	7	0	0	0	0	0	10	10	0	13	0	0	0	14	0	0	0	5	0	0	0	5	0	0	8	0	0	0	0	4	0	0	0	5	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	0	8	0	0	0	0	5	0	0	0	0	3	6	0	0	4	0	0	6	7	0	0	9	0	6	3	0	0	0	0
0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	5	0	0	0	11	0	0	0	0	15	0	13	0	7	0	0	0	0	0	0	22	0	24	3	19	0	10	15	0	0	0	0	0	0	0	0	0	0	0	0	0	14	11	0	20	0	0	0	13	0	0	0	2	0	0	0	13	0	0	13	0	0	0	0	12	0	0	0	3	0	0	0	8	0	0	0	0	0	0	0	0	0	0	9	0	21	0	0	0	0	8	0	0	0	0	14	27	0	0	12	0	0	19	10	18	0	0	0	9	27	0	0	0	0
0	5	0	0	0	3	0	5	0	0	2	0	7	0	2	0	0	0	0	0	0	12	0	4	7	4	0	4	0	0	0	0	0	0	0	8	7	0	0	0	0	0	12	2	0	8	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	10	0	0	0	22	0	0	0	0	0	0	0	0	0	0	5	0	22	0	0	0	0	0	0	0	0	0	2	3	0	0	4	0	0	5	8	3	0	5	0	3	4	0	0	0	0
0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0
0	5	0	0	0	3	0	14	0	0	0	0	8	0	7	0	0	0	0	0	0	4	0	5	14	11	0	3	5	0	0	0	0	0	0	21	19	0	0	0	0	0	36	5	0	6	0	0	0	13	0	0	0	10	0	0	0	7	0	0	12	0	0	0	0	17	0	0	0	21	0	0	0	25	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	3	0	0	0	0	5	12	0	0	5	0	0	18	5	7	0	18	0	5	4	0	0	0	0
0	5	5	8	24	2	4	9	2	3	0	30	39	9	16	8	2	6	9	5	15	9	0	0	14	15	0	2	3	0	17	2	0	0	0	7	12	2	2	3	0	3	11	4	0	2	3	2	0	6	0	0	4	10	13	4	5	2	2	6	0	9	2	0	9	0	0	0	0	27	0	0	7	13	4	2	6	20	2	2	5	4	2	17	4	3	7	0	0	0	0	10	10	0	18	0	7	2	2	3	0	9	0	7	2	3	0	5	0	0	4	7	0	0	7
0	5	0	0	0	2	0	0	0	0	0	0	101	0	96	0	0	0	0	5	0	3	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	51	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	3	0	0	0	0	0	0	0	0	47	0	0	2	7	10	0	0	0	0	0	0	0	0	0
0	5	0	0	0	23	0	24	0	0	15	0	11	0	17	0	0	0	0	0	0	7	0	13	26	21	0	30	12	0	0	0	0	0	0	22	30	0	0	0	0	0	47	29	0	62	0	0	0	83	0	0	0	18	0	0	0	33	0	0	3	0	0	0	0	21	0	0	0	32	0	0	0	23	0	0	0	0	0	0	0	0	0	0	34	0	41	0	0	0	0	6	0	0	0	0	9	24	0	0	9	0	0	13	26	6	0	16	0	6	11	0	0	0	0
0	5	0	0	0	5	0	12	0	0	9	0	13	0	6	0	0	0	0	0	0	10	0	8	9	19	0	8	11	0	0	0	0	0	0	21	15	0	0	0	0	0	35	20	0	12	0	0	0	32	0	0	0	12	0	0	0	7	0	0	14	0	0	0	0	15	0	0	0	11	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	0	18	0	0	0	0	14	0	0	0	0	5	8	0	0	12	0	0	12	18	9	0	4	0	5	14	0	0	0	0
0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
0	4	0	0	0	0	0	11	0	0	3	0	7	0	8	0	0	0	0	0	0	2	0	8	10	8	0	6	5	0	0	0	0	0	0	4	7	0	0	0	0	0	16	2	0	5	0	0	0	8	0	0	0	2	0	0	0	4	0	0	4	0	0	0	0	2	0	0	0	14	0	0	0	11	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	4	15	0	0	15	0	0	6	0	5	0	6	0	0	5	0	0	0	0
0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	2	10	0	0	0	2	0	0	0	0	0	10	5	7	0	0	0	5	0	5	22	5	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	11	0	0	0	9	0	0	0	10	0	0	0	7	0	11	0	0	0	18	2	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	8	0	0	5	12	0	0	10	0	0	0	0	0	0	0
0	4	2	0	3	0	2	3	0	0	2	4	0	0	2	11	8	0	22	3	4	2	0	0	2	8	2	6	0	0	2	4	0	6	3	3	2	0	3	0	0	4	0	0	4	0	8	0	0	0	3	4	0	1	0	4	11	4	2	0	2	11	0	0	2	2	8	0	5	2	0	0	0	2	3	6	0	9	0	5	0	0	3	4	0	0	0	9	3	4	3	0	0	3	5	0	3	0	2	11	0	0	9	5	4	0	0	2	0	0	7	0	0	0	2
0	4	0	0	0	2	0	0	0	0	0	0	10	0	7	0	0	0	0	0	0	3	0	3	2	4	0	6	3	0	0	0	0	0	0	12	11	0	0	0	0	0	24	7	0	8	0	0	0	12	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	9	0	0	0	14	0	0	0	0	0	0	0	0	0	0	10	0	23	0	0	0	0	7	0	0	0	0	0	13	0	0	8	0	0	15	14	5	0	7	0	2	0	0	0	0	0
0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	2	0	0	0	3	6	0	0	0	0
0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	3	0	0	0	3	0	0	0	0	0	0	6	0	4	0	0	0	0	0	0	1	0	0	4	0	0	2	0	0	0	0	0	0	0	5	4	0	0	0	0	0	8	6	0	3	0	0	0	5	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	10	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	3	0	5	2	0	0	0	0
0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0
0	3	0	0	0	2	0	0	0	0	0	0	10	0	7	0	0	0	0	0	0	5	0	3	2	5	0	2	2	0	0	0	0	0	0	3	1	0	0	0	0	0	7	12	0	4	0	0	0	5	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	7	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	14	0	0	0	0	4	0	0	0	0	0	7	0	0	2	0	0	5	7	2	0	1	0	5	0	0	0	0	0
