SampleID	Groups
USKP1O	North America
USHS4A	North America
USHS4B	North America
USHS4C	North America
USJC1I	North America
USJC1MA	North America
USJC1MB	North America
USJC1O	North America
USJC2I	North America
USJC2MA	North America
USJC2MB	North America
USNO2A	North America
USNO1C	North America
USOK01A	North America
USNO2F	North America
USNO2E	North America
USNO2D	North America
USTF1BC	North America
USTF1BA	North America
USMI1B	North America
USLC4A	North America
USOK08C	North America
USWS1AB	North America
USVA6C	North America
USVA6B	North America
USVA7B	North America
USVA7A	North America
USVA5B	North America
USVA5A	North America
USVA6A	North America
USVA5C	North America
USVA8A	North America
USVA7C	North America
CAON1B	North America
CAON1A	North America
USOK06A	North America
CAMT7C	North America
CAMT7B	North America
CAMT8B	North America
CAMT8A	North America
CAMT9A	North America
CAMT8C	North America
CAMT9C	North America
CAMT9B	North America
USSD1AC	North America
USSD1BA	North America
